	"Wild 24h"				"Wild 56h"				"Wild 80h"				"Aposymbiotic 24h"				"Aposymbiotic 56h"				"Aposymbiotic 80h"				"Aposymbiotic 92h"			
"Match ID"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"
36	0.333532	0.283511	0.32836	0.312468	0.362773	1.89595																						
37	0.623574	0.391913	0.486369	0.552066	0.394136	0.627842	1.09577	0.558835	0.637993	0.605291	0.518937	0.562836	0.503818	0.539502	0.59245	0.620223	0.705505	0.657061	1.06414	0.964463	0.89425	1.0073	0.925169	0.991265	0.619242	0.491136	0.496076	0.509074
38	1.54012	0.352977	2.22523	2.38314	2.42673	4.90867	1.87411	1.83851	1.5659	1.30812	2.59447	2.19876	2.4302	1.09235	1.68807													
39	2.23324	1.36848	1.28048	1.45312	1.67376	1.42063	1.23999	1.56478	1.6021	1.58981	0.923073	0.739073	0.715785	1.78322	2.82589	2.34076	0.846496	1.35813	1.07998	1.0771	0.930599							
40	4.65351	6.88312	5.35538	7.16831	10.2921	9.98923	2.56181	10.2187	3.79067	4.78139	3.74749	2.75732	6.8799	5.59811	8.52438	8.19731	6.81955	5.84417	7.39913	6.70731	4.89853	5.91686	5.71757	3.56684				
41	0.442015	0.61617	0.589146	0.377012	0.414215	0.746027	0.387633	0.39765	0.389788	0.307236	0.39479	0.357104	0.2328	0.201849	0.249696	0.302087	0.269576	0.348742	0.380839	0.235118	0.275809	0.226653	0.271659	0.177895	0.191557			
42	1.84778	1.69666	1.0228	0.895246	0.779634	1.21382	3.73299	1.33805	0.6422	0.673252	0.846213	0.614362	1.06697	0.496038	0.500045	0.601389	0.465599	0.651325										
43	3.15056	3.60171	2.816	3.7473	4.58642	2.45624	3.38005	4.04778	5.09053	4.54107	2.95974	4.64998	2.96267	4.0739	3.5252	5.19157	5.34956	4.4081	7.15407	5.7496	5.87717	5.14356	4.76313	4.34667	3.66647	4.19648	4.34678	2.63898
44	0.354558	0.157746	0.441932	0.283746	0.447009	0.706959	0.420225	0.448396	0.53228	0.524114	0.325929	0.464156	0.214315	0.192197	0.217093	0.275248	0.252024	0.30855	0.331176	0.230795	0.232949	0.225278	0.21723	0.22342	0.238866	0.548231		
45	0.31478	0.420601	0.493456	0.454158	1.05039	0.781646	0.54313	0.453355	1.12885	0.652097	0.346072	0.842321	0.836545	0.935415	0.873592	0.85485	0.54442	0.685149	0.393529									
46	0.460108	0.322875	0.313151	0.458609	0.43371	0.761889	0.567521	0.694175	0.653847	0.421268	0.646469	0.437348	0.465058	0.407627	0.493677	0.516553	0.526798	0.82022	0.536397	0.493335	0.379864	0.422046	0.506243	0.487155	0.413692	0.392697	0.320819	
47	0.398566	0.310272	0.27602	0.574393	0.364884	0.462398	0.729087	0.642436																				
48	1.10976	1.49677	1.51437	0.588539																								
49	1.06608	0.969284	0.795125	1.1119	1.51069	1.24466	4.22822	2.56422	3.76143	4.35621	2.40589	2.80929	1.10781	1.15381	1.51242	1.48622	1.91017	1.67354	2.62394	2.41339	2.5378	3.12603	2.77772	3.18347	2.1447	1.39531	1.33704	1.41732
50	0.268849	0.298271	0.117353	0.836969	0.712302	1.71019	1.26581	0.52383	1.26293																			
51	0.77681	0.761969	0.578091	0.738139	1.02915	0.819373	1.06461	0.99585	1.59474	1.86049	1.51428	1.82148	1.04584	1.0981	0.830273	0.882543	1.54838	1.12496	1.23108	1.02263	1.69881	1.34834	1.37863	1.39245	1.2468	1.69712	1.31779	0.999837
52	0.806927	0.45518	0.803783	2.06172	1.96502	1.99547	0.782977	0.708297	0.460093	1.53345	1.10463	1.29516	0.975859	1.2111	0.968387	1.59686	1.61061	1.2538	0.756837	0.547097	0.580294							
53	0.800508	0.596728	0.515516	0.434026	0.366411	0.633635	0.519845	0.41099	0.599479	0.451132	0.425785	0.525895	0.567986	0.438591	0.308491	0.6888	0.806455	0.626699	0.494641	0.605573	0.521849	0.635479	0.677305	0.408286	0.473119	0.470996	0.421219	
54	0.490508	0.355253	0.350147	0.218056	0.229436	0.287201	0.326382	0.461819	0.440184	0.356894	0.511232	0.35772	0.380483	0.383216	0.306135	0.508532	0.298131	0.357154	0.45927									
55	0.386058	0.510693	0.794436	0.416795	0.222779	0.407146	0.65105	0.720814	0.184525	1.12824	0.921246	0.936477	1.82644	1.00014	0.693746	0.879206	1.03479	0.534593	0.4613	0.368788								
56	0.685437	0.813315	0.524627	0.644689	1.00478	0.924344	0.882739	1.37471	1.39776	0.981455	0.748852	1.29537	0.503106	0.447689	0.596822	0.496046	0.540618	0.497929	0.877155	0.786071	0.734419	0.88251	0.615305	0.619667	0.423502	0.486604	0.622825	0.339145
57	0.3336	0.242917	0.292594	0.305029	0.289434	0.628114	0.651179	1.28374	0.645461																			
58	0.877777	0.581136	0.574111	0.738049	1.7163	0.866613	1.70168	1.02925	0.725143	0.901033	0.862428	1.18398	1.94744	1.4763	1.25657	0.707541	1.78112	1.12702	1.15108	1.89988	1.78537	2.30924	2.10816	1.63234	1.63212	1.34123	1.05734	
59	1.05351	0.748268	0.819052	0.90399	1.05577	1.37335	0.976496	1.43068	1.0784	1.17443	0.88081	1.0332	1.72263	1.52675	1.81152	1.33045	1.62296	1.54951	1.28619	1.18938	0.999299	1.11311	1.2183	0.904234				
60	1.66413	1.77422	1.36992	1.81671	2.25019	1.91022	3.20526	3.4842	5.33746	4.06696	2.28157	4.07511	2.94485	2.85108	3.50131	2.89567	5.01207	3.38932	5.4022	5.37138	5.3865	6.51837	4.40994	4.25327	4.29145	3.20192	4.07545	2.55477
61	0.981455	1.16421	0.948922	0.987283	2.23545	1.04703	1.70153	2.63522	1.89093	0.658776	1.70782	1.84515	3.12333	0.866201														
62	0.369982	0.456073	0.425652	0.799374	0.463749	0.710997	0.399043	0.370253	0.403919	0.568483	0.623928	0.889619	0.625044	0.410934														
63	0.560752	0.346513	0.332526	0.19452	0.684164	0.230222	0.196513	0.212821	0.366574	0.308167	1.47418	5.57155	0.982481															
64	0.934455	0.926098	0.95323	0.727296	1.09832	0.937521	1.41849	1.58067	1.30793	1.12899	6.23485	0.83176	1.02439	0.537303	0.739528	1.26469	0.30463											
65	0.183012	0.309854	0.259573	0.736437	0.498851	0.345573	0.480266	0.534866	0.631263	0.694927	0.618723	1.01646																
66	0.463929	0.576798	0.380195	0.483848	1.28234	0.71495	1.17314	1.31918	1.72207	1.08666	0.597526	1.08585	1.10605	1.11018	1.23169	1.06993	1.15066	1.15573	1.50339	1.45397	1.75304	2.22729	1.46679	1.6887	1.85076	1.20608	1.78624	1.01264
